Dam_Name,ShortID,NID,GRanD_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,IsRiverMth,delta,IsLock,yrc,yrr,yrc_source,MaxStor_m3,StorSource,Dam_Len_m,DamH_m,Longitude,Latitude,COMID,Hydroseq,DivDASqKM,Moved,FromDam,ToDam,flag,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag
Presque Isle Wildlife Dam,316157.0,MI00192,,0.0,0.0,0.0,0.0,Michigan,Local Government,Recreation,0.0,0.0,0.0,1958.0,,NID,6290748.0,NID,125.5776,3.9624,-89.7113711431,46.3447057464,6794269,90015281.0,275.688,0.0,,,"[10, 9]",1,1,2,0,0,0,0
Waterbury Roadway Embankment,458830.0,NY00377,,0.0,0.0,0.0,0.0,New York,Not Listed,Hydroelectric,0.0,0.0,0.0,1914.0,,NID,82026420.0,NID,121.92,1.524,-75.8190835928,43.5245075324,21622773,90015351.0,438.817,0.0,[np.float64(342735.0)],90419.0,"[0, 8]",0,0,2,0,90419,0,0
High Falls Dam At Copenhagen,342443.0,NY01345,,0.0,0.0,0.0,0.0,New York,Private,Hydroelectric,0.0,0.0,0.0,1909.0,,NID,40704.84,NID,53.34,7.62,-75.6639185251,43.8970342216,15512652,90015423.0,234.343,0.0,,341933.0,"[0, 9]",0,1,2,0,0,-121,0
Old Forge Reservoir Dam,90368.0,NY00315,2132.0,0.0,0.0,0.0,1.0,New York,State,Flood Risk Reduction,0.0,0.0,0.0,1905.0,,NID,27888982.8,NID,39.3192,5.4864,-74.9695522638,43.7124774996,15510540,90015426.0,136.427,0.0,[np.float64(341584.0)],342669.0,[0],0,0,2,0,0,-121,0
Cranberry Lake,90437.0,NY00397,2115.0,0.0,0.0,0.0,1.0,New York,Local Government,Hydroelectric,0.0,0.0,0.0,1917.0,,NID,70801752.0,NID,105.156,5.7912,-74.8477982818,44.2208437041,15490064,90015431.0,375.685,0.0,,341695.0,"[0, 9]",0,1,11,0,0,0,0
Chasm,341692.0,NY00469,,0.0,0.0,0.0,0.0,New York,Not Listed,Hydroelectric,0.0,0.0,0.0,1913.0,,NID,91277.52,NID,63.7032,7.62,-74.2228519732,44.74530755,15450280,90015440.0,333.82,0.0,[np.float64(341342.0)],342787.0,[0],0,0,11,0,0,0,0
Norvell Dam,9755.0,MI00128,,1.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1839.0,0.0,"RESSED, https://water.usgs.gov/osw/ressed/",885639.0,"RESSED, https://water.usgs.gov/osw/ressed/",100.584,3.9624,-84.1841162,42.1566275209,13227772,90015446.0,229.858,1.0,"[np.float64(64892.0), np.float64(120955.0)]",9763.0,[0],0,0,2,9763,0,0,0
Morley Dam,316170.0,MI00212,,0.0,0.0,0.0,0.0,Michigan,Local Government,Recreation,0.0,0.0,0.0,1908.0,,NID,740088.0,NID,140.208,6.7056,-85.4440257111,43.4860975992,12134768,90015546.0,401.495,0.0,"[np.float64(316911.0), np.float64(316711.0)]",316136.0,[0],0,0,2,0,0,-113,0
Marion,369412.0,WI00090,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Recreation,0.0,0.0,0.0,1880.0,,NID,1110132.0,NID,34.7472,5.1816,-88.8887545058,44.6730075973,9031987,90015578.0,51.215,0.0,,369517.0,"[0, 9]",0,1,2,0,118419,0,0
Hamlin Lake Dam,64550.0,MI00236,1497.0,0.0,0.0,0.0,1.0,Michigan,State,Recreation,0.0,0.0,0.0,1913.0,,NID,126431700.0,NID,62.7888,7.0104,-86.4922488921,44.0326183784,8988740,90015595.0,459.177,0.0,,,"[10, 9]",1,1,2,0,0,0,0
